family,policy,n_points,cost_to_err<=0.002,cost_to_err<=0.005,cost_to_err<=0.01,cost_to_err<=0.02,cost_to_err<=0.05,err_at_cost<=18000,err_at_cost<=21600,err_at_cost<=28800,err_at_cost<=36000,err_at_cost<=43200
id,uniform_coarse,1,inf,inf,inf,inf,inf,0.12614765597669855,0.12614765597669855,0.12614765597669855,0.12614765597669855,0.12614765597669855
id,uniform_medium,1,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,uniform_fine,1,48000.0,48000.0,48000.0,48000.0,48000.0,,,,,
id,random,9,48000.0,48000.0,48000.0,48000.0,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,random_structured,9,42540.0,42540.0,42540.0,42540.0,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.038868411096175,0.001122225461442817
id,spatial,9,48000.0,48000.0,48000.0,48000.0,14400.0,0.04998933432741403,0.04998933432741403,0.038295542210526654,0.020709491640849943,0.020709491640849943
id,physics,14,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,physics_seq,14,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,adjoint,14,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,oracle,7,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,oracle_flips,2,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403,0.04998933432741403
id,learned,14,inf,inf,inf,inf,12908.0,0.04938247456421428,0.04938247456421428,0.04938247456421428,0.04938247456421428,0.04938247456421428
id,learned_seq,14,inf,inf,inf,inf,14400.0,0.04998933432741403,0.04998933432741403,0.04959863440820556,0.04959863440820556,0.04959863440820556
