family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
id,uniform_coarse,0.0,300,0.12614765597669855,0.10486687831330567,0.1500800207590377,0.0598201339333848,0.2994175447407848,1.1115449150032235,4800.0,4800.0,4800.0,0.018271157986643326,0.0,1.0,0.20333333333333334,1.0,0.0,0.0,0.0,0.38666666666666666
id,uniform_medium,1.0,300,0.04998933432741403,0.03435765466235785,0.06752141627203281,0.001052025833860118,0.13969184066085158,0.8759592301089023,14400.0,14400.0,14400.0,0.05861222602658017,0.0,1.0,0.8033333333333333,1.0,0.0,0.0,0.0,0.38666666666666666
id,uniform_fine,2.0,300,0.001122225461442817,0.0009558352825049521,0.0013114491682077968,0.0005598974902461668,0.0032277172972102978,0.01686701685090597,48000.0,48000.0,48000.0,0.19279626518660734,12.0,1.0,0.9966666666666667,0.07055555555555555,1.0,0.13181110534509602,0.9294444444444445,0.0
id,random,0.0,300,0.12614765597669855,0.10486687831330567,0.1500800207590377,0.0598201339333848,0.2994175447407848,1.1115449150032235,4800.0,4800.0,4800.0,0.018271157986643326,0.0,1.0,0.20333333333333334,1.0,0.0,0.0,0.0,0.38666666666666666
id,random,1.0,300,0.12105470153192778,0.09992994601798698,0.14526177478382019,0.055397969044644835,0.2910541283185086,1.1268815506803098,8400.0,8400.0,8400.0,0.16237386572660398,1.0,1.0,0.20666666666666667,0.07666666666666666,0.09055118110236221,0.08303249097472924,0.9233333333333333,0.34291269841269845
id,random,2.0,300,0.10922462392207428,0.08948466498594061,0.13272932255307135,0.047258588229521586,0.24794409505202308,1.1206195663868284,12000.0,12000.0,12000.0,0.16814418860337052,2.0,1.0,0.23666666666666666,0.075,0.17716535433070865,0.1053864168618267,0.925,0.2993571428571428
id,random,3.0,300,0.0996931616064276,0.08131541347645269,0.12283199656818972,0.038101357482111325,0.20157349996135923,1.1221578663760228,15600.0,15600.0,15600.0,0.1695990496766899,3.0,1.0,0.27666666666666667,0.07555555555555556,0.2677165354330709,0.11785095320623917,0.9244444444444444,0.2660793650793651
id,random,4.0,300,0.09148563105175617,0.07369158717267114,0.11247092281514644,0.03260924598639274,0.1833440088588564,1.090877131425211,19200.0,19200.0,19200.0,0.1719920300666369,4.0,1.0,0.2833333333333333,0.0825,0.38976377952755903,0.1361760660247593,0.9175,0.22793650793650794
id,random,6.0,300,0.072211080111198,0.057009850128859584,0.08999064101804713,0.027706042838277083,0.12731169553630375,1.0547800320801954,26400.0,26400.0,26400.0,0.17773920332330212,6.0,1.0,0.33,0.07388888888888889,0.5236220472440944,0.12950340798442064,0.926111111111111,0.1729047619047619
id,random,8.0,300,0.05558199774568023,0.04070365777113132,0.07247489904496525,0.013823821479605189,0.09249413772419643,1.040521501166131,33600.0,33600.0,33600.0,0.18142129133668278,8.0,1.0,0.41,0.07,0.6614173228346457,0.12660135644310477,0.93,0.1266746031746032
id,random,12.0,300,0.001122225461442817,0.0009558352825049521,0.0013114491682077968,0.0005598974902461668,0.0032277172972102978,0.01686701685090597,48000.0,48000.0,48000.0,0.19279626518660734,12.0,1.0,0.9966666666666667,0.07055555555555555,1.0,0.13181110534509602,0.9294444444444445,0.0
id,random_structured,0.0,300,0.12614765597669855,0.10486687831330567,0.1500800207590377,0.0598201339333848,0.2994175447407848,1.1115449150032235,4800.0,4800.0,4800.0,0.018271157986643326,0.0,1.0,0.20333333333333334,1.0,0.0,0.0,0.0,0.38666666666666666
id,random_structured,1.0,300,0.1120710270615745,0.09240329826231353,0.13461970479035068,0.05451684269144638,0.2646406570994722,1.0997258047826706,8400.0,8400.0,8400.0,0.16395953939996616,1.0,1.0,0.21666666666666667,0.11333333333333333,0.13385826771653545,0.12274368231046932,0.8866666666666667,0.3273015873015873
id,random_structured,2.0,300,0.10181963700147359,0.08219541850070454,0.12310878592253688,0.04831825117621136,0.24014888319175082,1.1124369091122168,12000.0,12000.0,12000.0,0.16663447549661214,2.0,1.0,0.21,0.09666666666666666,0.2283464566929134,0.1358313817330211,0.9033333333333333,0.29354761904761906
id,random_structured,3.0,300,0.09163039357832668,0.07353907956292136,0.11301497392263309,0.04158005157139441,0.18846932237675343,1.1119299132317124,15600.0,15600.0,15600.0,0.16901177448666205,3.0,1.0,0.25,0.08444444444444445,0.2992125984251969,0.1317157712305026,0.9155555555555556,0.26946031746031746
id,random_structured,4.0,300,0.08037355521464624,0.06276049505591372,0.10005703291663777,0.03364495235706376,0.1619392947129396,1.0967950813845508,19188.0,19164.0,19200.0,0.1716367379466222,3.9966666666666666,1.0,0.27,0.08256880733944955,0.38976377952755903,0.13626978664831382,0.9175,0.23353968253968252
id,random_structured,6.0,300,0.05619139763996681,0.042132788530667604,0.07319524134040725,0.023562490377221496,0.09181113127907709,1.0728322891041724,26256.0,26136.0,26352.0,0.17497299455004395,5.96,1.0,0.32,0.08277404921700224,0.5826771653543307,0.14495592556317335,0.9177777777777779,0.15719841269841267
id,random_structured,8.0,300,0.038868411096175,0.02648760724798899,0.05519890030153504,0.011452977493324322,0.06377106704264905,1.0832858587247787,33000.0,32688.0,33252.0,0.17959813432667943,7.833333333333333,1.0,0.4866666666666667,0.08042553191489361,0.7440944881889764,0.14516129032258063,0.9210515873015873,0.09480952380952382
id,random_structured,12.0,300,0.001122225461442817,0.0009558352825049521,0.0013114491682077968,0.0005598974902461668,0.0032277172972102978,0.01686701685090597,42540.0,41736.0,43212.3,0.18824030396331484,10.483333333333333,1.0,0.9966666666666667,0.0807631160572337,1.0,0.14945572227125622,0.9228983886483887,0.0
id,spatial,0.0,300,0.12614765597669855,0.10486687831330567,0.1500800207590377,0.0598201339333848,0.2994175447407848,1.1115449150032235,4800.0,4800.0,4800.0,0.018271157986643326,0.0,1.0,0.20333333333333334,1.0,0.0,0.0,0.0,0.38666666666666666
id,spatial,1.0,300,0.08694293749825775,0.07119492778366737,0.10475575401773243,0.04154298843799881,0.17126863720071792,1.084872063317782,8400.0,8400.0,8400.0,0.16340305753997503,1.0,1.0,0.23333333333333334,0.19666666666666666,0.23228346456692914,0.21299638989169672,0.8033333333333333,0.26122222222222224
id,spatial,2.0,300,0.07543842668701105,0.061082214451911115,0.09167477364416929,0.0320979140876428,0.15082565148096358,1.0808618665086729,12000.0,12000.0,12000.0,0.16638574535987571,2.0,1.0,0.27,0.14666666666666667,0.3464566929133858,0.20608899297423888,0.8533333333333334,0.2238571428571428
id,spatial,3.0,300,0.059593957844687385,0.04807658748051759,0.07203902342917946,0.026226955527622255,0.13199142578421,0.9722477965537615,15600.0,15600.0,15600.0,0.1681621785933324,3.0,1.0,0.29333333333333333,0.1322222222222222,0.468503937007874,0.20623916811091852,0.8677777777777779,0.18854761904761905
id,spatial,4.0,300,0.05220713624152355,0.041368688465900444,0.06400189847381356,0.020443301318755283,0.10709929504669681,0.9719315054757254,19200.0,19200.0,19200.0,0.1714433700199758,4.0,1.0,0.3433333333333333,0.11583333333333333,0.547244094488189,0.19119669876203577,0.8841666666666667,0.15951587301587303
id,spatial,6.0,300,0.038295542210526654,0.029229331337766295,0.048669211673607736,0.013934661974931886,0.074156881731478,0.9486067945556083,26400.0,26400.0,26400.0,0.174691032613282,6.0,1.0,0.43666666666666665,0.10333333333333333,0.7322834645669292,0.18111002921129504,0.8966666666666666,0.10303968253968256
id,spatial,8.0,300,0.020709491640849943,0.014419134971902857,0.028712305790495794,0.0074928707389875365,0.04442851589076365,0.9361693327435803,33600.0,33600.0,33600.0,0.1808980441399884,8.0,1.0,0.5633333333333334,0.09416666666666666,0.889763779527559,0.17030896759608138,0.9058333333333334,0.03261904761904762
id,spatial,12.0,300,0.001122225461442817,0.0009558352825049521,0.0013114491682077968,0.0005598974902461668,0.0032277172972102978,0.01686701685090597,48000.0,48000.0,48000.0,0.19279626518660734,12.0,1.0,0.9966666666666667,0.07055555555555555,1.0,0.13181110534509602,0.9294444444444445,0.0
id,physics,0.02,300,0.05009088570905379,0.04415407354574538,0.055964287303109025,0.034204152471009636,0.11583265183986231,0.3652700811569545,13872.0,12919.8,14844.0,0.12619404446328797,1.6533333333333333,1.65,0.23,0.48588709677419356,0.9488188976377953,0.6426666666666667,0.3931309523809524,0.02677777777777778
id,physics,0.05,300,0.05192918067886389,0.046211009606752944,0.0576681825892065,0.036380149214317745,0.11875428843523744,0.27699168428338306,12776.0,11887.9,13700.0,0.11640020772993619,1.42,1.5966666666666667,0.22666666666666666,0.5446009389671361,0.9133858267716536,0.6823529411764706,0.32483730158730156,0.04161111111111111
id,physics,0.1,300,0.05401073532931497,0.04824136620143939,0.0598637262226897,0.0403790506116119,0.12404968391128965,0.27699168428338306,11648.0,10755.7,12504.3,0.10499830540327215,1.2,1.5266666666666666,0.22333333333333333,0.6055555555555555,0.8582677165354331,0.7100977198697069,0.24742460317460319,0.06127777777777778
id,physics,0.15,300,0.05847402852054221,0.05120284709707922,0.0656598980216869,0.0403790506116119,0.131892660467298,0.5141306724228507,11060.0,10267.1,11884.5,0.10094493787658697,1.0633333333333332,1.5066666666666666,0.22,0.64576802507837,0.8110236220472441,0.7190226876090752,0.21964285714285714,0.08047619047619048
id,physics,0.2,300,0.06068976586818778,0.05274590976276767,0.06835801054754918,0.04070161806345232,0.13462191053547604,0.5141306724228507,10728.0,9963.7,11540.0,0.09839109113325928,0.9933333333333333,1.49,0.21666666666666667,0.6577181208053692,0.7716535433070866,0.7101449275362319,0.20603174603174604,0.09831746031746032
id,physics,0.3,300,0.06437560459732986,0.055869989972753026,0.07304209572579108,0.04512333928658882,0.13957721960911226,0.5141306724228507,9868.0,9103.9,10604.1,0.08890366929328593,0.83,1.4333333333333333,0.21333333333333335,0.7309236947791165,0.7165354330708661,0.7236580516898609,0.14765873015873016,0.12431746031746033
id,physics,0.4,300,0.06765670512285638,0.05883111514486294,0.07668253720357232,0.04585850239890162,0.14765769561142364,0.5141306724228507,9408.0,8727.7,10100.1,0.08506369696995535,0.7333333333333333,1.41,0.21333333333333335,0.740909090909091,0.6417322834645669,0.6877637130801688,0.12662698412698414,0.14093650793650792
id,physics,0.5,300,0.07505706456513711,0.0638654455349197,0.08633862590022337,0.04829034910609041,0.1657075962760842,0.6650865922148401,8916.0,8288.0,9588.0,0.08041057730662943,0.6366666666666667,1.38,0.21333333333333335,0.7539267015706806,0.5669291338582677,0.647191011235955,0.11061111111111112,0.17288095238095236
id,physics,0.6,300,0.07795962971901095,0.066794409782483,0.08931756631227494,0.049108865109435476,0.16870265931540102,0.6650865922148401,8476.0,7843.9,9120.1,0.07461084119992543,0.5633333333333334,1.3433333333333333,0.20666666666666667,0.7810650887573964,0.5196850393700787,0.6241134751773049,0.09027777777777778,0.19365873015873017
