family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
amp_high,uniform_coarse,0.0,100,0.241786071035751,0.18575283239993232,0.30751470280058235,0.09771863672436826,0.8422547869925614,1.3265721243373216,4800.0,4800.0,4800.0,0.01808762356007719,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.77
amp_high,uniform_medium,1.0,100,0.1381837916382937,0.09693242817334273,0.18601032206773072,0.020978413406097213,0.5187241930880523,1.1053768433089874,14400.0,14400.0,14400.0,0.061291541309947205,0.0,1.0,0.38,1.0,0.0,0.0,0.0,0.77
amp_high,uniform_fine,2.0,100,0.011278456211459897,0.00093892267881384,0.03166567218082121,0.00042387996797030314,0.0038436963142485024,1.0043213611231108,48000.0,48000.0,48000.0,0.19064922535015286,12.0,1.0,0.98,0.1325,1.0,0.23399558498896247,0.8675,0.0
amp_high,random,0.0,100,0.241786071035751,0.18575283239993232,0.30751470280058235,0.09771863672436826,0.8422547869925614,1.3265721243373216,4800.0,4800.0,4800.0,0.01808762356007719,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.77
amp_high,random,1.0,100,0.22028612616806342,0.16667875252951259,0.2798489619745018,0.0864063731506409,0.6738765154992362,1.3267691786652045,8400.0,8400.0,8400.0,0.16400779577990762,1.0,1.0,0.16,0.13,0.08176100628930817,0.1003861003861004,0.87,0.7163333333333333
amp_high,random,2.0,100,0.2166431851278608,0.16380228078072454,0.27665671912276923,0.08659348007443493,0.624816524165607,1.3264076859141687,12000.0,12000.0,12000.0,0.1655232988499847,2.0,1.0,0.16,0.12,0.1509433962264151,0.13370473537604458,0.88,0.6848333333333333
amp_high,random,3.0,100,0.20766974733994942,0.15645715930604454,0.26793259140105874,0.07800977218170262,0.6071453054402826,1.3266705689413247,15600.0,15600.0,15600.0,0.1678908318199683,3.0,1.0,0.15,0.11666666666666667,0.22012578616352202,0.1525054466230937,0.8833333333333334,0.629
amp_high,random,4.0,100,0.16866010189580508,0.12014104067316475,0.22388048351637335,0.05783947840059413,0.46807693913813614,1.3064549948325468,19200.0,19200.0,19200.0,0.17170444120003595,4.0,1.0,0.14,0.135,0.33962264150943394,0.1932021466905188,0.865,0.5195
amp_high,random,6.0,100,0.13458763431528975,0.09125199974630854,0.18371761198582126,0.043862596526548614,0.3825292319381976,1.2937444574033266,26400.0,26400.0,26400.0,0.17621198786006062,6.0,1.0,0.16,0.13166666666666665,0.4968553459119497,0.20816864295125162,0.8683333333333332,0.4134999999999999
amp_high,random,8.0,100,0.07480104692394872,0.047835582867725795,0.10676522736835722,0.0217992590866182,0.2189755229938267,1.0036559437622585,33600.0,33600.0,33600.0,0.18265320614009398,8.0,1.0,0.3,0.13375,0.6729559748427673,0.22314911366006254,0.86625,0.2886666666666666
amp_high,random,12.0,100,0.011278456211459897,0.00093892267881384,0.03166567218082121,0.00042387996797030314,0.0038436963142485024,1.0043213611231108,48000.0,48000.0,48000.0,0.19064922535015286,12.0,1.0,0.98,0.1325,1.0,0.23399558498896247,0.8675,0.0
amp_high,random_structured,0.0,100,0.241786071035751,0.18575283239993232,0.30751470280058235,0.09771863672436826,0.8422547869925614,1.3265721243373216,4800.0,4800.0,4800.0,0.01808762356007719,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.77
amp_high,random_structured,1.0,100,0.22918177767018652,0.17508470431843046,0.292008469236616,0.08448723609392983,0.7781388040147176,1.3277818533253374,8400.0,8400.0,8400.0,0.165970286710035,1.0,1.0,0.16,0.14,0.0880503144654088,0.10810810810810811,0.86,0.6983333333333335
amp_high,random_structured,2.0,100,0.21579639112761534,0.16087810687835943,0.280288568798653,0.07737384422617234,0.7752506530397151,1.3358361310562454,12000.0,12000.0,12000.0,0.1677994997901442,2.0,1.0,0.16,0.14,0.1761006289308176,0.15598885793871867,0.86,0.6326666666666667
amp_high,random_structured,3.0,100,0.19283129569385593,0.13972500332538612,0.2522946091208531,0.0715703249497163,0.5876785154031458,1.3358530092206051,15600.0,15600.0,15600.0,0.16915604813000754,3.0,1.0,0.17,0.15,0.2830188679245283,0.19607843137254902,0.8499999999999999,0.5568333333333333
amp_high,random_structured,4.0,100,0.16617240081325435,0.1194787883717295,0.22621352192771016,0.05451679775963755,0.4351215542937393,1.3360286360678102,19164.0,19092.0,19200.0,0.17062831802997608,3.99,1.0,0.19,0.15037593984962405,0.37735849056603776,0.21505376344086022,0.85,0.4651666666666667
amp_high,random_structured,6.0,100,0.10515106219374043,0.07122385992804542,0.14996836045145384,0.032652096497445424,0.25921762973834944,1.09750664326724,26004.0,25680.0,26292.0,0.17462531379003848,5.89,1.0,0.29,0.15449915110356535,0.5723270440251572,0.24331550802139035,0.8463333333333333,0.30666666666666664
amp_high,random_structured,8.0,100,0.07632280897954276,0.04152701298835044,0.11595807029814002,0.0133363652228383,0.20318799013194047,1.0939271566787356,32664.0,31979.1,33240.0,0.18106018325996046,7.74,1.0,0.43,0.14857881136950904,0.7232704402515723,0.2465166130760986,0.8528214285714286,0.18333333333333335
amp_high,random_structured,12.0,100,0.011278456211459897,0.00093892267881384,0.03166567218082121,0.00042387996797030314,0.0038436963142485024,1.0043213611231108,42312.0,40943.1,43608.0,0.18829368232001797,10.42,1.0,0.98,0.15259117082533588,1.0,0.26477935054121565,0.8512077922077923,0.0
amp_high,spatial,0.0,100,0.241786071035751,0.18575283239993232,0.30751470280058235,0.09771863672436826,0.8422547869925614,1.3265721243373216,4800.0,4800.0,4800.0,0.01808762356007719,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.77
amp_high,spatial,1.0,100,0.13827931673800792,0.09769714308434076,0.17850503195322157,0.057124371466549625,0.41825212263583544,0.9708564717192787,8400.0,8400.0,8400.0,0.16211591106988635,1.0,1.0,0.17,0.7,0.44025157232704404,0.5405405405405405,0.3,0.2885
amp_high,spatial,2.0,100,0.12615507841120024,0.0875292934633468,0.1684931743445567,0.04946358301428669,0.39983166395334696,0.9659375108988415,12000.0,12000.0,12000.0,0.16725753021994025,2.0,1.0,0.17,0.44,0.5534591194968553,0.49025069637883006,0.56,0.22066666666666668
amp_high,spatial,3.0,100,0.11026909984522504,0.07332886245651014,0.15172015986850698,0.04230645812917755,0.23856623700160437,0.9628723472955645,15600.0,15600.0,15600.0,0.1684061406300316,3.0,1.0,0.18,0.3233333333333333,0.610062893081761,0.42265795206971674,0.6766666666666667,0.1928333333333333
amp_high,spatial,4.0,100,0.08804158579750103,0.05545698168612956,0.12638504882075186,0.03150620499593043,0.15584236397862236,1.0052219501624575,19200.0,19200.0,19200.0,0.16975919999988037,4.0,1.0,0.22,0.28,0.7044025157232704,0.4007155635062612,0.72,0.1425
amp_high,spatial,6.0,100,0.04928027932188272,0.02479393077861623,0.07955575588017508,0.019890195244710265,0.05415258968416287,1.0052219501624575,26400.0,26400.0,26400.0,0.17632628320003277,6.0,1.0,0.4,0.23,0.8679245283018868,0.36363636363636365,0.7699999999999999,0.055999999999999994
amp_high,spatial,8.0,100,0.03967815351157096,0.015039614374791871,0.06942474475148708,0.00455847014254027,0.042720399159806396,1.0006638490965456,33600.0,33600.0,33600.0,0.18021154489002583,8.0,1.0,0.62,0.18375,0.9245283018867925,0.3065693430656934,0.81625,0.03266666666666666
amp_high,spatial,12.0,100,0.011278456211459897,0.00093892267881384,0.03166567218082121,0.00042387996797030314,0.0038436963142485024,1.0043213611231108,48000.0,48000.0,48000.0,0.19064922535015286,12.0,1.0,0.98,0.1325,1.0,0.23399558498896247,0.8675,0.0
amp_high,physics,0.02,100,0.062021012704585404,0.04377431461545646,0.08695729620059936,0.04003923745783684,0.11876249859043497,0.9556761960732445,17712.0,16139.4,19056.3,0.1638900353700592,2.4,1.89,0.21,0.6,0.9056603773584906,0.7218045112781956,0.3349682539682539,0.06583333333333333
amp_high,physics,0.05,100,0.07836391681655658,0.053782665909837546,0.10900967919154127,0.045906813689408243,0.13750578297770702,0.9556761960732445,16380.0,15047.1,17556.0,0.1646180067900059,2.03,1.89,0.19,0.6650246305418719,0.8490566037735849,0.7458563535911602,0.28045238095238095,0.09033333333333333
amp_high,physics,0.1,100,0.08386455202254287,0.05905166493166923,0.11532826678189241,0.048625185857366734,0.14309154171624558,0.9556761960732445,15408.0,14123.4,16464.6,0.16066802163999455,1.8,1.86,0.19,0.7222222222222222,0.8176100628930818,0.7669616519174042,0.22145238095238096,0.1145
amp_high,physics,0.15,100,0.08561811649302474,0.06099484951306917,0.11612200537230681,0.048625185857366734,0.14468815485228403,0.9556761960732445,14964.0,13680.0,16056.0,0.15790489461000107,1.69,1.85,0.19,0.7514792899408284,0.7987421383647799,0.7743902439024389,0.19478571428571428,0.12450000000000001
amp_high,physics,0.2,100,0.08856500610996389,0.06327018561919054,0.11946945689718357,0.04882071901748371,0.1465361386775711,0.9556761960732445,14436.0,13187.4,15468.3,0.1527438984500259,1.57,1.83,0.18,0.7770700636942676,0.7672955974842768,0.7721518987341773,0.17,0.14566666666666667
amp_high,physics,0.3,100,0.09964178511850413,0.07002960602037761,0.13226314680420664,0.04983090540378482,0.19144777192465304,0.9556761960732445,13704.0,12564.0,14760.3,0.15151428005003253,1.38,1.82,0.18,0.8333333333333334,0.7232704402515723,0.7744107744107744,0.12833333333333333,0.17316666666666666
amp_high,physics,0.4,100,0.10798266753598756,0.07698702446878321,0.1422127685226828,0.05244494046986682,0.20183327950612706,0.9556761960732445,13404.0,12275.7,14424.9,0.14962677204004649,1.31,1.81,0.18,0.8320610687022901,0.6855345911949685,0.7517241379310344,0.13,0.19566666666666666
amp_high,physics,0.5,100,0.1112522788469986,0.07877294293964189,0.14687797248528225,0.05244494046986682,0.22261330946458763,0.9823672419465956,13020.0,11976.0,14028.0,0.14703307758003575,1.23,1.79,0.18,0.8455284552845529,0.6540880503144654,0.7375886524822695,0.11866666666666667,0.20683333333333337
amp_high,physics,0.6,100,0.11660687315731316,0.08351839531302198,0.15143876208342683,0.05459079004476439,0.27241356098455655,0.9823672419465956,12588.0,11543.4,13596.0,0.14242573692001315,1.15,1.76,0.18,0.8521739130434782,0.6163522012578616,0.7153284671532847,0.11199999999999999,0.23850000000000002
amp_high,physics,0.7,100,0.10999341038813829,0.0812025288550855,0.14341955170029666,0.05669903905153513,0.25280179805718667,0.9823672419465956,12048.0,11028.0,13044.0,0.13719986341000548,1.04,1.73,0.17,0.8557692307692307,0.559748427672956,0.6768060836501901,0.102,0.2793333333333333
amp_high,physics,0.8,100,0.11071709240685916,0.08203679245560995,0.14464988622431174,0.05669903905153513,0.25280179805718667,0.9823672419465956,11772.0,10799.7,12720.3,0.13420084011999278,0.99,1.71,0.17,0.8585858585858586,0.5345911949685535,0.6589147286821705,0.1,0.2985
amp_high,physics,0.9,100,0.13165149098774673,0.097841279291118,0.17089553538453991,0.0627787446662264,0.31382403679226495,1.0620019243848295,11076.0,10187.7,11917.199999999999,0.12659672716998102,0.85,1.67,0.15,0.8705882352941177,0.46540880503144655,0.6065573770491803,0.105,0.3583333333333333
amp_high,physics,0.97,100,0.14123814387462663,0.10562281588655521,0.184588522647996,0.06539736343310662,0.3978972860866957,1.0620019243848295,10308.0,9359.7,11268.0,0.11506835289999799,0.73,1.6,0.15,0.863013698630137,0.39622641509433965,0.5431034482758621,0.095,0.4175
amp_high,physics_seq,0.02,100,0.05662948626128176,0.03892491476306112,0.08263845810163355,0.03572984571054045,0.10352922979795878,0.9551977492606507,42132.0,35387.4,48318.299999999996,0.4604597848199228,2.67,3.67,0.24,0.5730337078651685,0.9622641509433962,0.7183098591549295,0.3513333333333333,0.0165
amp_high,physics_seq,0.05,100,0.060177595222165745,0.04213418703292045,0.08686867067339833,0.03768823347378715,0.11842540636105278,0.9556761960732445,37860.0,31461.0,43704.9,0.42146394234987383,2.44,3.44,0.21,0.6229508196721312,0.9559748427672956,0.7543424317617866,0.32099999999999995,0.0215
amp_high,physics_seq,0.1,100,0.06608421521614616,0.04738415419929789,0.09260559634984496,0.04317218081951142,0.1277355135353669,0.9556761960732445,31812.0,26051.4,36974.1,0.36191767646985684,2.08,3.08,0.19,0.6923076923076923,0.9056603773584906,0.7847411444141689,0.24350000000000002,0.06233333333333333
amp_high,physics_seq,0.15,100,0.07357894915853128,0.053002551654936926,0.1008337622770071,0.044760765037868216,0.13703404862922947,0.9556761960732445,28944.0,23361.9,33912.6,0.3330246729398641,1.91,2.91,0.19,0.7172774869109948,0.8616352201257862,0.7828571428571429,0.21883333333333332,0.08816666666666667
amp_high,physics_seq,0.2,100,0.07814174759962676,0.05733172721523873,0.10518841027858195,0.048442913360604994,0.13986349363131845,0.9556761960732445,26256.0,21216.0,30855.6,0.3046638299198821,1.74,2.74,0.18,0.7528735632183908,0.8238993710691824,0.7867867867867868,0.1825,0.11649999999999999
amp_high,physics_seq,0.3,100,0.08232707736398527,0.061040837077538705,0.1095889087475309,0.04888445199930466,0.1462217316194651,0.9556761960732445,23544.0,19163.4,27745.8,0.2776695475199449,1.58,2.58,0.18,0.7974683544303798,0.7924528301886793,0.7949526813880127,0.15283333333333332,0.13566666666666666
