name,err_at_1.5x_medium,err_at_2x_medium,cost_to_tol,auroc,ece
abl_no_uncertainty,0.001721822692423959,0.001721822692423959,17402.0,0.9925838859889814,0.007376953067581771
abl_no_uncertainty_seq,0.0023751959548752844,0.0016532692694143402,17674.0,,
abl_no_graph,0.018545193971788217,0.0010747122133427302,25177.0,0.9699209299869552,0.008144040817204745
abl_no_graph_seq,0.022397143126104503,0.01577103535693082,33764.0,,
abl_no_trajectory,0.01283639486990524,0.004368590767337032,23391.0,0.9621371394374157,0.013684872581526526
abl_no_trajectory_seq,0.014738169651157746,0.005764610851547729,26205.0,,
abl_intervention_only,0.022792934312375595,0.021983916997201477,inf,0.7938811192230291,0.0036194478447885456
abl_intervention_only_seq,0.022792934312375595,0.021983916997201477,inf,,
abl_gbm,0.0018299334860157114,0.0014270111911077429,17725.0,0.9942990579266563,0.007003527185005798
abl_gbm_seq,0.002497365393972858,0.0014122399004804337,17911.0,,
abl_flip_label,0.0451754754511213,0.0010419221097614992,24242.0,0.9609959731596127,0.07711377226447741
abl_flip_label_seq,0.0451754754511213,0.0451754754511213,37310.0,,
abl_train_100,0.0023978865467609786,0.00112067385099172,18878.0,0.9802882349374852,0.009478572843167563
abl_train_100_seq,0.0032860947086575053,0.00201714008351655,19379.0,,
abl_train_300,0.0016830696959167118,0.001445872842141765,17474.0,0.993242965741543,0.005870411924333592
abl_train_300_seq,0.002868216008935444,0.0014203375016295383,17653.0,,
abl_no_path_states,0.0014366959809829674,0.0011721884030704973,16908.0,0.9945513466153224,0.004496761090057714
abl_no_path_states_seq,0.003485964049909027,0.0013448912293400738,17094.0,,
learned,0.0015848316473434914,0.001418285318934398,18118.0,0.9925838859889814,0.007376953067581771
learned_seq,0.003091216307823188,0.0014382778077288469,18619.0,,
abl_cascade_oversampled,0.001695471078391389,0.0013813646689023295,17745.0,0.9925565058212192,0.007730321069473088
abl_cascade_oversampled_seq,0.0030756798962577048,0.0014814243571755017,18389.0,,
abl_no_intervention,0.0019989423452419467,0.0011979014568171658,17882.0,0.9897871974246997,0.007015787388685656
abl_no_intervention_seq,0.002298318808801001,0.0017796066050106637,18297.0,,
