family,policy,n_points,cost_to_err<=0.002,cost_to_err<=0.005,cost_to_err<=0.01,cost_to_err<=0.02,cost_to_err<=0.05,err_at_cost<=18000,err_at_cost<=21600,err_at_cost<=28800,err_at_cost<=36000,err_at_cost<=43200
id,uniform_coarse,1,inf,inf,inf,inf,inf,0.11827869664341215,0.11827869664341215,0.11827869664341215,0.11827869664341215,0.11827869664341215
id,uniform_medium,1,inf,inf,inf,inf,14400.0,0.0451754754511213,0.0451754754511213,0.0451754754511213,0.0451754754511213,0.0451754754511213
id,uniform_fine,1,48000.0,48000.0,48000.0,48000.0,48000.0,,,,,
id,random,8,48000.0,48000.0,48000.0,36800.0,14400.0,0.04394505365860423,0.039251590114014655,0.030830350658221775,0.024453759470639054,0.019832155127795726
id,random_structured,8,43569.0,43569.0,43569.0,31074.0,14400.0,0.03941799817769162,0.036859545456584014,0.02923034682195409,0.019051374569427723,0.014603182408415545
id,spatial,8,48000.0,36800.0,31200.0,20000.0,14400.0,0.021706764442370293,0.018962466557182506,0.012304570076516468,0.009626820078949092,0.00442252489129642
id,physics,13,24834.0,24251.0,22699.0,20626.0,20626.0,,0.019113480603131613,0.0010467274274199468,0.0010407355177550221,0.0010407355177550221
id,physics_seq,13,38555.0,34391.0,31610.0,25382.0,25382.0,,,0.011912349830528808,0.0048950815740425885,0.0017264926793328582
id,adjoint,13,55468.0,50829.0,48663.0,45952.0,45952.0,,,,,
id,oracle,6,15163.0,14820.0,14736.0,14736.0,14736.0,0.001047148723401051,0.001047148723401051,0.001047148723401051,0.001047148723401051,0.001047148723401051
id,oracle_flips,1,17375.0,17375.0,17375.0,17375.0,17375.0,0.0010419055654710529,0.0010419055654710529,0.0010419055654710529,0.0010419055654710529,0.0010419055654710529
id,learned,13,20493.0,18497.0,18118.0,18118.0,18118.0,,0.0016551913794777817,0.0016551913794777817,0.0016551913794777817,0.0016551913794777817
id,learned_seq,13,22033.0,19113.0,18619.0,18619.0,18619.0,,0.003091216307823188,0.0016304500501800273,0.0016304500501800273,0.0016304500501800273
id,abl_no_uncertainty,13,20543.0,18247.0,17402.0,16385.0,16385.0,0.005280322667090276,0.001721822692423959,0.001721822692423959,0.001721822692423959,0.001721822692423959
id,abl_no_uncertainty_seq,13,22190.0,18848.0,17674.0,16478.0,16478.0,0.0068615065745594814,0.0023751959548752844,0.0016532692694143402,0.0016532692694143402,0.0016532692694143402
id,abl_no_graph,13,27198.0,26305.0,25177.0,21560.0,14572.0,0.028887336638559545,0.018545193971788217,0.0010747122133427302,0.0010747122133427302,0.0010747122133427302
id,abl_no_graph_seq,13,inf,38048.0,33764.0,26300.0,14572.0,0.028887336638559545,0.022397143126104503,0.01577103535693082,0.008662738544112472,0.002399786067662147
id,abl_no_trajectory,13,inf,26546.0,23391.0,18741.0,17216.0,0.02137410442639851,0.01283639486990524,0.004368590767337032,0.004368590767337032,0.004368590767337032
id,abl_no_trajectory_seq,13,inf,28841.0,26205.0,19007.0,17395.0,0.021912337231585546,0.014738169651157746,0.005764610851547729,0.004286835024601422,0.004286835024601422
id,abl_intervention_only,13,inf,inf,inf,32937.0,14400.0,0.02779552292596228,0.022792934312375595,0.021983916997201477,0.016171770471453354,0.016171770471453354
id,abl_intervention_only_seq,13,inf,inf,inf,61784.0,14400.0,0.02779552292596228,0.022792934312375595,0.021983916997201477,0.021983916997201477,0.021983916997201477
id,abl_gbm,13,20906.0,18934.0,17725.0,16944.0,16944.0,0.0068253047146495495,0.0018299334860157114,0.0014270111911077429,0.0014270111911077429,0.0014270111911077429
id,abl_gbm_seq,13,23197.0,18448.0,17911.0,16987.0,16987.0,0.005782400084218681,0.002497365393972858,0.0014122399004804337,0.0014122399004804337,0.0014122399004804337
id,abl_flip_label,13,27357.0,24690.0,24242.0,24242.0,24242.0,,,0.0010419221097614992,0.0010419221097614992,0.0010419221097614992
id,abl_flip_label_seq,13,46287.0,37982.0,37310.0,37310.0,37310.0,,,,,0.0025038545299511067
id,abl_train_100,13,24697.0,19644.0,18878.0,16779.0,14443.0,0.011583207609340928,0.0023978865467609786,0.00112067385099172,0.0010817170154591345,0.0010817170154591345
id,abl_train_100_seq,13,31999.0,20360.0,19379.0,17065.0,14443.0,0.016420722496175807,0.0032860947086575053,0.00201714008351655,0.0013544331668281467,0.00119917467048739
id,abl_train_300,13,20177.0,19084.0,17474.0,16808.0,16808.0,0.007162107396175784,0.0016830696959167118,0.001445872842141765,0.001445872842141765,0.001445872842141765
id,abl_train_300_seq,13,21817.0,19278.0,17653.0,16808.0,16808.0,0.00801540503246634,0.002868216008935444,0.0014203375016295383,0.0014203375016295383,0.0014203375016295383
id,abl_no_path_states,13,20534.0,18225.0,16908.0,16908.0,16908.0,0.00682086482215631,0.0014366959809829674,0.0011721884030704973,0.0011721884030704973,0.0011721884030704973
id,abl_no_path_states_seq,13,22760.0,18798.0,17094.0,17094.0,17094.0,0.008928999115305458,0.003485964049909027,0.0013448912293400738,0.0011445360874070734,0.0011445360874070734
