family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
id,uniform_coarse,0.0,400,0.11827869664341215,0.09920610000547624,0.1380282357047521,0.0564220957217475,0.27722558014433757,1.1115449150032235,4800.0,4800.0,4800.0,0.026246376722494916,0.0,1.0,0.2125,1.0,0.0,0.0,0.0,0.2075
id,uniform_medium,1.0,400,0.0451754754511213,0.032850711841169465,0.05936651859863208,0.0009954713937283047,0.129040980377482,0.8759592301089023,14400.0,14400.0,14400.0,0.06152966432498943,0.0,1.0,0.7925,1.0,0.0,0.0,0.0,0.2075
id,uniform_fine,2.0,400,0.001051541018479632,0.0008973659542539397,0.0012119299785294192,0.0004381692845408097,0.00324152213645857,0.01686701685090597,48000.0,48000.0,48000.0,0.1989970330624965,12.0,1.0,0.9975,0.022708333333333334,1.0,0.044408229782033,0.9772916666666666,0.0
id,random,0.0,400,0.0451754754511213,0.032850711841169465,0.05936651859863208,0.0009954713937283047,0.129040980377482,0.8759592301089023,14400.0,14400.0,14400.0,0.06152966432498943,0.0,1.0,0.7925,1.0,0.0,0.0,0.0,0.2075
id,random,1.0,400,0.04394505365860423,0.0315947494157374,0.05823836370271663,0.0009534603159791905,0.12494180153561044,0.875937712574859,17200.0,17200.0,17200.0,0.21471185564997997,1.0,1.0,0.8075,0.0175,0.06422018348623854,0.027504911591355603,0.9825,0.19125
id,random,2.0,400,0.039251590114014655,0.026342927877189868,0.0530822924702548,0.0009274080601909158,0.09578559485505482,0.8759470434272871,20000.0,20000.0,20000.0,0.21463909413751936,2.0,1.0,0.8225,0.01875,0.13761467889908258,0.03300330033003301,0.98125,0.17479166666666665
id,random,3.0,400,0.034900561058891715,0.022660542483907274,0.04815384288553067,0.000827973997146958,0.04753249431424014,0.8759466502273326,22800.0,22800.0,22800.0,0.21685725018001675,3.0,1.0,0.845,0.0225,0.24770642201834864,0.04125286478227654,0.9775,0.15083333333333332
id,random,4.0,400,0.030830350658221775,0.019849370582976703,0.04331178102509932,0.0007784208599264097,0.033730046687060776,0.8759818765610149,25600.0,25600.0,25600.0,0.21811550870998644,4.0,1.0,0.8575,0.025,0.3669724770642202,0.046811000585137506,0.975,0.131875
id,random,6.0,400,0.024453759470639054,0.015018153034463114,0.035703065404260166,0.0006789005046288232,0.015537436656673275,0.8300950184772293,31200.0,31200.0,31200.0,0.22118389649003803,6.0,1.0,0.885,0.022916666666666665,0.5045871559633027,0.04384216819449979,0.9770833333333334,0.10166666666666666
id,random,8.0,400,0.019832155127795726,0.011593754894782468,0.030667731182502416,0.0005530395967784721,0.005661698574372733,0.8301404507491559,36800.0,36800.0,36800.0,0.22368899557748137,8.0,1.0,0.9175,0.0225,0.6605504587155964,0.043517679057116954,0.9775,0.07
