family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
K20,uniform_coarse,0.0,150,0.0940456115887265,0.07014851577631662,0.12080839473639161,0.04701570020477251,0.17848920674376959,1.08139209763557,8000.0,8000.0,8000.0,0.018355699220010138,0.0,1.0,0.25333333333333335,1.0,0.0,0.0,0.0,0.19333333333333333
K20,uniform_medium,1.0,150,0.036414572639649666,0.018867108388551185,0.05704360421277822,0.0007334372532950967,0.07643505537779097,0.7967127735784167,24000.0,24000.0,24000.0,0.061906582753326805,0.0,1.0,0.8066666666666666,1.0,0.0,0.0,0.0,0.19333333333333333
K20,uniform_fine,2.0,150,0.001141625424195206,0.0005286252167503497,0.002330033986454368,0.00023615908258192708,0.0016654437882825087,0.07376367182855165,80000.0,80000.0,80000.0,0.21669985688001664,20.0,1.0,0.9933333333333333,0.010333333333333333,1.0,0.02045529528208512,0.9896666666666666,0.0
K20,random,0.0,150,0.036414572639649666,0.018867108388551185,0.05704360421277822,0.0007334372532950967,0.07643505537779097,0.7967127735784167,24000.0,24000.0,24000.0,0.061906582753326805,0.0,1.0,0.8066666666666666,1.0,0.0,0.0,0.0,0.19333333333333333
K20,random,1.0,150,0.036804946944677605,0.01903298183051892,0.05725109892247462,0.0007336217677202453,0.07520020360552501,0.7967219023727599,26800.0,26800.0,26800.0,0.21043057871328225,1.0,1.0,0.8,0.006666666666666667,0.03225806451612903,0.011049723756906077,0.9933333333333333,0.1911111111111111
K20,random,2.0,150,0.03255385644632808,0.01663102261551475,0.05209320888781789,0.0007359154220814013,0.06577539246972204,0.7967219023727599,29600.0,29600.0,29600.0,0.21703244736672786,2.0,1.0,0.8133333333333334,0.01,0.0967741935483871,0.01812688821752266,0.99,0.17777777777777776
K20,random,3.0,150,0.03081962347869447,0.015142586474648837,0.05037195308445369,0.0006052915547866272,0.04726323259785576,0.7967223799369327,32400.0,32400.0,32400.0,0.21335470324668374,3.0,1.0,0.84,0.015555555555555555,0.22580645161290322,0.029106029106029108,0.9844444444444443,0.15111111111111108
K20,random,4.0,150,0.024112690829989156,0.011880924740170285,0.040996159987827976,0.00047541023838017227,0.026896142035825226,0.7417766214957171,35200.0,35200.0,35200.0,0.21590912886002114,4.0,1.0,0.8533333333333334,0.015,0.2903225806451613,0.028526148969889066,0.985,0.13777777777777775
K20,random,6.0,150,0.024033702013140215,0.011776255450346065,0.04094316791868009,0.0004631519546183932,0.02689998772774912,0.7417752686266965,40800.0,40800.0,40800.0,0.21895671301330366,6.0,1.0,0.8533333333333334,0.01,0.2903225806451613,0.01933404940923738,0.99,0.13777777777777775
K20,random,8.0,150,0.023612753001504613,0.011043156327184651,0.04051007427540763,0.00041222003662260776,0.023304547735137026,0.7417752795533809,46400.0,46400.0,46400.0,0.22281158826668615,8.0,1.0,0.86,0.008333333333333333,0.3225806451612903,0.016246953696181964,0.9916666666666667,0.1311111111111111
