family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
multi2,uniform_coarse,0.0,150,0.16179986830649212,0.12550020980089513,0.20138541776609747,0.07688026908785608,0.34928507152376753,1.502867211374657,4800.0,4800.0,4800.0,0.020478714193377528,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.38666666666666666
multi2,uniform_medium,1.0,150,0.07874016145479362,0.049557751124930605,0.10997833687074599,0.004439807442801036,0.21123495164235406,1.2650149129234511,14400.0,14400.0,14400.0,0.07047389786665008,0.0,1.0,0.6066666666666667,1.0,0.0,0.0,0.0,0.38666666666666666
multi2,uniform_fine,2.0,150,0.00743789209776041,0.001516992263225687,0.016493895993542923,0.0007696529852682654,0.004290934023822968,0.5562146893774702,48000.0,48000.0,48000.0,0.2189575408199865,12.0,1.0,0.9733333333333334,0.045,1.0,0.0861244019138756,0.955,0.0
multi2,random,0.0,150,0.07874016145479362,0.049557751124930605,0.10997833687074599,0.004439807442801036,0.21123495164235406,1.2650149129234511,14400.0,14400.0,14400.0,0.07047389786665008,0.0,1.0,0.6066666666666667,1.0,0.0,0.0,0.0,0.38666666666666666
multi2,random,1.0,150,0.07774566618534864,0.0487511217008118,0.10962478944959936,0.004043601812956987,0.21123495164235406,1.2650149129234511,17200.0,17200.0,17200.0,0.2353095336400232,1.0,1.0,0.6266666666666667,0.02666666666666667,0.04938271604938271,0.03463203463203463,0.9733333333333334,0.36666666666666664
multi2,random,2.0,150,0.07064903071198726,0.04325099975495324,0.09860612712199872,0.0038628522171913204,0.19817852247710915,0.8653695044627607,20000.0,20000.0,20000.0,0.2351979075066932,2.0,1.0,0.6533333333333333,0.03666666666666667,0.13580246913580246,0.05774278215223096,0.9633333333333334,0.3333333333333333
multi2,random,3.0,150,0.06886853865205037,0.04160858606293535,0.09696986220502465,0.003444955034722391,0.19818269530472554,0.8653709577665003,22800.0,22800.0,22800.0,0.23693361017335823,3.0,1.0,0.68,0.042222222222222223,0.2345679012345679,0.07156308851224105,0.957777777777778,0.29444444444444445
multi2,random,4.0,150,0.06518173355461708,0.03812470482482979,0.0929200504506841,0.003306231290831463,0.16730816272717253,0.8653702698385599,25600.0,25600.0,25600.0,0.2358805818933494,4.0,1.0,0.6933333333333334,0.041666666666666664,0.30864197530864196,0.07342143906020557,0.9583333333333334,0.26555555555555554
multi2,random,6.0,150,0.05011886656403478,0.028091962973437443,0.07532059885658658,0.0027865977543886644,0.10687815238228489,0.8647371479548117,31200.0,31200.0,31200.0,0.246220540366697,6.0,1.0,0.7333333333333333,0.043333333333333335,0.48148148148148145,0.07951070336391437,0.9566666666666667,0.20444444444444446
multi2,random,8.0,150,0.027303891501840732,0.013054499169395406,0.044311415122057725,0.0016417429757130952,0.04686131608507425,0.7608213417901127,36800.0,36800.0,36800.0,0.24096832984667343,8.0,1.0,0.8266666666666667,0.04583333333333333,0.6790123456790124,0.0858704137392662,0.9541666666666667,0.11777777777777776
multi2,random,12.0,150,0.00743789209776041,0.001516992263225687,0.016493895993542923,0.0007696529852682654,0.004290934023822968,0.5562146893774702,48000.0,48000.0,48000.0,0.2189575408199865,12.0,1.0,0.9733333333333334,0.045,1.0,0.0861244019138756,0.955,0.0
multi2,random_structured,0.0,150,0.07874016145479362,0.049557751124930605,0.10997833687074599,0.004439807442801036,0.21123495164235406,1.2650149129234511,14400.0,14400.0,14400.0,0.07047389786665008,0.0,1.0,0.6066666666666667,1.0,0.0,0.0,0.0,0.38666666666666666
multi2,random_structured,1.0,150,0.05705203823608805,0.03479147108111068,0.08307010760113154,0.004039393809113223,0.1236195019709479,1.265020037192202,17200.0,17200.0,17200.0,0.22951551852665944,1.0,1.0,0.6333333333333333,0.06,0.1111111111111111,0.07792207792207792,0.94,0.3455555555555555
multi2,random_structured,2.0,150,0.05324122016646927,0.03127289714614328,0.07891103020859644,0.0034271078344818295,0.11435957698747669,1.2650249415969537,20000.0,20000.0,20000.0,0.2340700988200418,2.0,1.0,0.6666666666666666,0.06,0.2222222222222222,0.09448818897637795,0.94,0.2966666666666667
multi2,random_structured,3.0,150,0.04773245708136211,0.02654436370621558,0.07267555502665168,0.0028254707735991536,0.11468111320518569,1.2650248155847197,22800.0,22800.0,22800.0,0.23521936550667913,3.0,1.0,0.7,0.057777777777777775,0.32098765432098764,0.09792843691148775,0.9422222222222221,0.2544444444444444
multi2,random_structured,4.0,150,0.04280719136663715,0.02318554886396046,0.06688097446297092,0.002245631952362062,0.10687329464180036,1.265031262754961,25488.0,25394.666666666668,25562.666666666668,0.23465538494002128,3.96,1.0,0.7333333333333333,0.05387205387205387,0.3950617283950617,0.09481481481481481,0.9455555555555555,0.22444444444444442
multi2,random_structured,6.0,150,0.04027422171049872,0.019538324747313096,0.06523326474117576,0.001751192164405474,0.0795943354467306,1.2650334864209893,30733.333333333332,30397.333333333332,30994.666666666668,0.23827732316668213,5.833333333333333,1.0,0.7933333333333333,0.052571428571428575,0.5679012345679012,0.09623430962343096,0.9466666666666667,0.15888888888888889
multi2,random_structured,8.0,150,0.025198242208312845,0.011185167523364382,0.041219692525774836,0.0013969872191291893,0.03365278132461374,0.8647698434861386,35848.0,35269.333333333336,36296.0,0.2458664116400117,7.66,1.0,0.8666666666666667,0.05308964316797215,0.7530864197530864,0.0991869918699187,0.9462698412698411,0.09777777777777776
