family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
negative,uniform_coarse,0.0,150,0.052219112286324476,0.044410360434245226,0.06055920375529496,0.036488401064505405,0.12299295158897594,0.3221772481684946,4800.0,4800.0,4800.0,0.018078718373314283,0.0,1.0,0.21333333333333335,1.0,1.0,1.0,0.0,0.0
negative,uniform_medium,1.0,150,0.0009705861936438891,0.0007524292304758619,0.0012223896703888537,0.0003909520955650003,0.0026503018085082706,0.009922415851820077,14400.0,14400.0,14400.0,0.05075707766667013,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
negative,uniform_fine,2.0,150,0.0009504211361282685,0.0007317464101302891,0.0012032680805801445,0.0003874504883847815,0.002571484195341916,0.009603582819473822,48000.0,48000.0,48000.0,0.19399748857998322,12.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
negative,random,0.0,150,0.0009705861936438891,0.0007524292304758619,0.0012223896703888537,0.0003909520955650003,0.0026503018085082706,0.009922415851820077,14400.0,14400.0,14400.0,0.05075707766667013,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
negative,random,1.0,150,0.0009716404022774179,0.0007546283203572958,0.0012224194187512184,0.00039371464452814253,0.002648071894142712,0.009914378363548026,17200.0,17200.0,17200.0,0.19825700212001418,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
negative,random,2.0,150,0.0009485081258028761,0.0007283383731068391,0.0012039135109381623,0.00040286284530013927,0.0026338380106664784,0.009889752684877351,20000.0,20000.0,20000.0,0.19909050110663884,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
negative,random,3.0,150,0.0009496532074977596,0.0007299514450247185,0.0012055821879686911,0.00040739592089332477,0.002634749307816725,0.009878875173326973,22800.0,22800.0,22800.0,0.20278120690000528,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
negative,random,4.0,150,0.0009494695531672625,0.0007306947011101226,0.001206014569593905,0.00041231733157905126,0.0026436399782850837,0.009878875173326973,25600.0,25600.0,25600.0,0.20428792858670325,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
negative,random,6.0,150,0.0009516219450386299,0.0007307868417964975,0.001205675859912731,0.00040001774565043974,0.0026209814249774474,0.009779222532237508,31200.0,31200.0,31200.0,0.20779819887999718,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
negative,random,8.0,150,0.0009531911961329003,0.000732674922127507,0.0012066135031701165,0.00040252921650843487,0.002631518385547221,0.009690066098118733,36800.0,36800.0,36800.0,0.20939014405333486,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
