family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
noisy,uniform_coarse,0.0,150,0.11966472012553303,0.08888438617147301,0.15531773468789248,0.05716851534397231,0.25162287612038453,1.2056614669994032,4800.0,4800.0,4800.0,0.03272029285333702,0.0,1.0,0.22666666666666666,1.0,0.0,0.0,0.0,0.21333333333333335
noisy,uniform_medium,1.0,150,0.05272462812565279,0.029284414443837038,0.07989190598438327,0.000679198079981222,0.09886049438774627,0.8873393215540097,14400.0,14400.0,14400.0,0.10814564719998696,0.0,1.0,0.7866666666666666,1.0,0.0,0.0,0.0,0.21333333333333335
noisy,uniform_fine,2.0,150,0.0013047553053805517,0.0008731224377352439,0.0018984731430465517,0.00053348887516666,0.002478502622306571,0.03359632709083238,48000.0,48000.0,48000.0,0.4026621825866823,12.0,1.0,0.9866666666666667,0.022222222222222223,1.0,0.04347826086956522,0.9777777777777777,0.0
noisy,random,0.0,150,0.05272462812565279,0.029284414443837038,0.07989190598438327,0.000679198079981222,0.09886049438774627,0.8873393215540097,14400.0,14400.0,14400.0,0.10814564719998696,0.0,1.0,0.7866666666666666,1.0,0.0,0.0,0.0,0.21333333333333335
noisy,random,1.0,150,0.05050072332845107,0.027336464994069772,0.0777798945095395,0.0006652294848961528,0.07342446639972536,0.8873795270425904,17200.0,17200.0,17200.0,0.4232962745200469,1.0,1.0,0.8066666666666666,0.02666666666666667,0.1,0.042105263157894736,0.9733333333333334,0.19333333333333333
noisy,random,2.0,150,0.04874004535556038,0.026891719567029265,0.07550100299785913,0.0007053445006921372,0.07215236040507596,0.8089402487183615,20000.0,20000.0,20000.0,0.42118700587998925,2.0,1.0,0.8,0.02,0.15,0.03529411764705883,0.98,0.18888888888888888
noisy,random,3.0,150,0.04576576111460889,0.02350647000654309,0.07173357750247224,0.0006511878905912788,0.046047970934197,0.8086887021410647,22800.0,22800.0,22800.0,0.43507050002666803,3.0,1.0,0.8266666666666667,0.02666666666666667,0.3,0.0489795918367347,0.9733333333333334,0.15555555555555556
noisy,random,4.0,150,0.04087151847084581,0.01944816646556425,0.06545780384294544,0.0006461093897454362,0.03141690695495217,0.7990623966371486,25600.0,25600.0,25600.0,0.44225534785994874,4.0,1.0,0.84,0.025,0.375,0.04687500000000001,0.975,0.14
noisy,random,6.0,150,0.027733028441190678,0.009890600925580095,0.04738536862953042,0.0007046636545663953,0.010705653058381488,0.8000634425331903,31200.0,31200.0,31200.0,0.44422238479995335,6.0,1.0,0.8933333333333333,0.02666666666666667,0.6,0.05106382978723405,0.9733333333333334,0.09
noisy,random,8.0,150,0.01429934651081262,0.0035575079920766098,0.030224610227522302,0.0006215974882912145,0.005748041025767076,0.8004878828402546,36800.0,36800.0,36800.0,0.45030134814004974,8.0,1.0,0.9333333333333333,0.024166666666666666,0.725,0.0467741935483871,0.9758333333333333,0.06555555555555556
noisy,random,12.0,150,0.0013047553053805517,0.0008731224377352439,0.0018984731430465517,0.00053348887516666,0.002478502622306571,0.03359632709083238,48000.0,48000.0,48000.0,0.4026621825866823,12.0,1.0,0.9866666666666667,0.022222222222222223,1.0,0.04347826086956522,0.9777777777777777,0.0
noisy,random_structured,0.0,150,0.05272462812565279,0.029284414443837038,0.07989190598438327,0.000679198079981222,0.09886049438774627,0.8873393215540097,14400.0,14400.0,14400.0,0.10814564719998696,0.0,1.0,0.7866666666666666,1.0,0.0,0.0,0.0,0.21333333333333335
noisy,random_structured,1.0,150,0.04537104819094137,0.025075335914154073,0.0692015124357298,0.00067729483102971,0.07622450218891552,0.8640644342785508,17200.0,17200.0,17200.0,0.43275341460002287,1.0,1.0,0.7933333333333333,0.04,0.15,0.06315789473684211,0.96,0.18111111111111108
noisy,random_structured,2.0,150,0.04132025991338877,0.022383546562701483,0.06582937947062266,0.000751170775406082,0.07197815853086974,0.8639627126591203,20000.0,20000.0,20000.0,0.431718229906625,2.0,1.0,0.8133333333333334,0.03,0.225,0.052941176470588235,0.97,0.16444444444444442
noisy,random_structured,3.0,150,0.035160925518417756,0.016231925425394284,0.057934922337586126,0.0006698868424074439,0.044382430545384266,0.8636885204710477,22800.0,22800.0,22800.0,0.43022859195327934,3.0,1.0,0.8333333333333334,0.03111111111111111,0.35,0.05714285714285714,0.9688888888888889,0.13777777777777775
noisy,random_structured,4.0,150,0.033671791371268384,0.01490782974488324,0.05695206749657152,0.0006461463135499779,0.02314870555002918,0.8645577014668107,25600.0,25600.0,25600.0,0.43893698734002706,4.0,1.0,0.8466666666666667,0.02666666666666667,0.4,0.05,0.9733333333333334,0.12444444444444443
