family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
sigma0,uniform_coarse,0.0,150,0.11106655531735483,0.0890748117157386,0.13569807436350012,0.06221323047961556,0.2603768606151319,0.9562430175334917,4800.0,4800.0,4800.0,0.025519557019967276,0.0,1.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.18666666666666668
sigma0,uniform_medium,1.0,150,0.03603090160789717,0.021095440765776293,0.05315866835099702,0.000907913311666203,0.10846792466511695,0.7414653415797052,14400.0,14400.0,14400.0,0.07858307844003018,0.0,1.0,0.8133333333333334,1.0,0.0,0.0,0.0,0.18666666666666668
sigma0,uniform_fine,2.0,150,0.0010670800171315457,0.0008331606589110427,0.001327193846515703,0.0005313736800112573,0.0032684250748018008,0.008283588708168588,48000.0,48000.0,48000.0,0.2625597300399992,12.0,1.0,1.0,0.01888888888888889,1.0,0.03707742639040349,0.981111111111111,0.0
sigma0,random,0.0,150,0.03603090160789717,0.021095440765776293,0.05315866835099702,0.000907913311666203,0.10846792466511695,0.7414653415797052,14400.0,14400.0,14400.0,0.07858307844003018,0.0,1.0,0.8133333333333334,1.0,0.0,0.0,0.0,0.18666666666666668
sigma0,random,1.0,150,0.03596099236968944,0.020983764309879454,0.05314657055066046,0.0009110709413274465,0.10847828016727264,0.7415138562793848,17200.0,17200.0,17200.0,0.2785260777666554,1.0,1.0,0.82,0.006666666666666667,0.029411764705882353,0.010869565217391306,0.9933333333333333,0.18
sigma0,random,2.0,150,0.030684472773389898,0.01693221302078731,0.046043598240932446,0.000748035129519535,0.07120431124261738,0.7415130753430987,20000.0,20000.0,20000.0,0.2819723742199797,2.0,1.0,0.84,0.02666666666666667,0.23529411764705882,0.04790419161676647,0.9733333333333334,0.14777777777777776
sigma0,random,3.0,150,0.030122068576534607,0.016583364461387837,0.04557595559107816,0.000750242437606144,0.07119890937866143,0.7415331174656472,22800.0,22800.0,22800.0,0.2823313497266887,3.0,1.0,0.8466666666666667,0.022222222222222223,0.29411764705882354,0.04132231404958678,0.9777777777777779,0.13777777777777775
sigma0,random,4.0,150,0.029824478785137318,0.01624674016909266,0.04527485773610647,0.0007250265080175344,0.07119752572391597,0.7415330908113038,25600.0,25600.0,25600.0,0.2812390617933488,4.0,1.0,0.86,0.02,0.35294117647058826,0.03785488958990536,0.98,0.12444444444444443
sigma0,random,6.0,150,0.021632902409514477,0.009923447070368494,0.036583175741650494,0.0006457014549565293,0.009580488096101928,0.7415382290576049,31200.0,31200.0,31200.0,0.2841506614266109,6.0,1.0,0.9,0.02,0.5294117647058824,0.03854389721627409,0.98,0.08777777777777777
sigma0,random,8.0,150,0.016086052548386815,0.008076669162516613,0.025722117323272363,0.0005617601413317186,0.006535638380932585,0.40682910144679096,36800.0,36800.0,36800.0,0.28733305964658334,8.0,1.0,0.92,0.018333333333333333,0.6470588235294118,0.03565640194489465,0.9816666666666667,0.06555555555555555
sigma0,random,12.0,150,0.0010670800171315457,0.0008331606589110427,0.001327193846515703,0.0005313736800112573,0.0032684250748018008,0.008283588708168588,48000.0,48000.0,48000.0,0.2625597300399992,12.0,1.0,1.0,0.01888888888888889,1.0,0.03707742639040349,0.981111111111111,0.0
sigma0,random_structured,0.0,150,0.03603090160789717,0.021095440765776293,0.05315866835099702,0.000907913311666203,0.10846792466511695,0.7414653415797052,14400.0,14400.0,14400.0,0.07858307844003018,0.0,1.0,0.8133333333333334,1.0,0.0,0.0,0.0,0.18666666666666668
sigma0,random_structured,1.0,150,0.033418377495321776,0.01869085038566286,0.050694494806524604,0.0009051299944034183,0.0993780044938451,0.7414678528137331,17200.0,17200.0,17200.0,0.27466117853333344,1.0,1.0,0.82,0.013333333333333334,0.058823529411764705,0.02173913043478261,0.9866666666666667,0.17666666666666667
sigma0,random_structured,2.0,150,0.031621578338022226,0.01676610748115715,0.04918188132571732,0.0009077668736186886,0.09184805405151839,0.7415163659879069,20000.0,20000.0,20000.0,0.2783705107999534,2.0,1.0,0.8333333333333334,0.016666666666666666,0.14705882352941177,0.029940119760479042,0.9833333333333333,0.16
sigma0,random_structured,3.0,150,0.02483662306673339,0.012036502554053105,0.03982824568386578,0.0007338882925662094,0.027667766743112252,0.7415155849677977,22800.0,22800.0,22800.0,0.2785912641733436,3.0,1.0,0.8666666666666667,0.022222222222222223,0.29411764705882354,0.04132231404958678,0.9777777777777779,0.13
sigma0,random_structured,4.0,150,0.017972978366524835,0.007723380916220533,0.031975113409415605,0.0006291118007636654,0.008704887856301077,0.7415008731106314,25581.333333333332,25544.0,25600.0,0.2846420278133155,3.993333333333333,1.0,0.9066666666666666,0.028380634390651086,0.5,0.053712480252764615,0.9716666666666667,0.09
sigma0,random_structured,6.0,150,0.011932923525388352,0.0033231737781297898,0.024795689830180684,0.0005644946044521676,0.005806315512690269,0.7415283304039395,31069.333333333332,30901.333333333332,31181.333333333332,0.2860856926333084,5.953333333333333,1.0,0.9333333333333333,0.026875699888017916,0.7058823529411765,0.0517799352750809,0.9733333333333334,0.05888888888888888
sigma0,random_structured,8.0,150,0.009893002521698103,0.0016057667382289973,0.022630918396053863,0.0005557034397817295,0.004332447871280276,0.7415210153813858,36352.0,36034.666666666664,36613.8,0.287924071426684,7.84,1.0,0.9733333333333334,0.025510204081632654,0.8823529411764706,0.04958677685950414,0.9748809523809524,0.02222222222222222
sigma0,random_structured,12.0,150,0.0010670800171315457,0.0008331606589110427,0.001327193846515703,0.0005313736800112573,0.0032684250748018008,0.008283588708168588,43258.666666666664,42437.333333333336,44061.8,0.28071321054661896,10.306666666666667,1.0,1.0,0.02199223803363519,1.0,0.043037974683544304,0.9775189995189995,0.0
sigma0,spatial,0.0,150,0.03603090160789717,0.021095440765776293,0.05315866835099702,0.000907913311666203,0.10846792466511695,0.7414653415797052,14400.0,14400.0,14400.0,0.07858307844003018,0.0,1.0,0.8133333333333334,1.0,0.0,0.0,0.0,0.18666666666666668
sigma0,spatial,1.0,150,0.013786830141624795,0.0051975444255487925,0.023151572573762373,0.0006204948414654382,0.008467982068582302,0.5401676519864633,17200.0,17200.0,17200.0,0.27356940337993974,1.0,1.0,0.9133333333333333,0.13333333333333333,0.5882352941176471,0.21739130434782608,0.8666666666666667,0.07111111111111111
sigma0,spatial,2.0,150,0.013688683917470482,0.005091100416179856,0.023047366147103985,0.0006125363053803706,0.008324394187549409,0.5400326002261426,20000.0,20000.0,20000.0,0.2744036935200105,2.0,1.0,0.9133333333333333,0.06666666666666667,0.5882352941176471,0.11976047904191617,0.9333333333333333,0.07111111111111111
