family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
id,learned_seed1,0.02,400,0.0015185008244844556,0.0012329458511068855,0.0018781717973585653,0.0005599062239676628,0.003762716307314642,0.04872595412531966,21970.0,21074.975,22878.524999999998,0.14339440080501162,0.595,1.41,0.9825,0.4327731092436975,0.944954128440367,0.5936599423631124,0.24458333333333332,0.010625
id,learned_seed1,0.05,400,0.00162621662078061,0.0013229166222221533,0.001983124698640163,0.0005637554429760994,0.004027157068643218,0.04872595412531966,21507.0,20641.0,22409.2,0.1392504013975099,0.5325,1.39,0.9775,0.4694835680751174,0.9174311926605505,0.6211180124223603,0.21583333333333332,0.013333333333333332
id,learned_seed1,0.1,400,0.0018196856906859732,0.0014446356542547518,0.002237401919968026,0.0005883318133486984,0.004220867929317041,0.04872595412531966,21129.0,20249.975,21980.375,0.13599699613001007,0.4875,1.3725,0.97,0.49743589743589745,0.8899082568807339,0.6381578947368421,0.19416666666666665,0.0175
id,learned_seed1,0.15,400,0.001821614704201051,0.0014475254747165493,0.0022394296023269837,0.0005883318133486984,0.004220867929317041,0.04872595412531966,20957.0,20075.85,21791.075,0.1338735944600103,0.4775,1.3625,0.97,0.5078534031413613,0.8899082568807339,0.6466666666666667,0.18416666666666665,0.0175
id,learned_seed1,0.2,400,0.0018272230300323444,0.0014580007485301997,0.0022439290984922877,0.0005883318133486984,0.004275088570495083,0.04872595412531966,20721.0,19876.625,21566.025,0.13143042452750706,0.4575,1.35,0.97,0.5300546448087432,0.8899082568807339,0.6643835616438356,0.17,0.0175
id,learned_seed1,0.3,400,0.0019188936153599018,0.0015371727645326493,0.0023849639334691604,0.0006243887944920035,0.004520523422479198,0.04872595412531966,20564.0,19731.875,21400.075,0.12979776594250553,0.44,1.3425,0.9675,0.5454545454545454,0.8807339449541285,0.6736842105263158,0.1625,0.02
id,learned_seed1,0.4,400,0.0020201708086490565,0.0016097494344992631,0.0024836202307458046,0.0006243887944920035,0.00467212647101939,0.04872595412531966,20214.0,19404.825,21045.15,0.12627289326000665,0.405,1.325,0.9625,0.5740740740740741,0.8532110091743119,0.6863468634686347,0.1420833333333333,0.023125
id,learned_seed1,0.5,400,0.0021327127386854493,0.0016519382824303113,0.00263845929433092,0.000629745525010994,0.00467212647101939,0.04872595412531966,19985.0,19162.825,20815.0,0.12397170549500743,0.3875,1.3125,0.96,0.5806451612903226,0.8256880733944955,0.6818181818181819,0.13208333333333333,0.02645833333333333
id,learned_seed1,0.6,400,0.0026406856756899144,0.0018769708238760105,0.003685593784451473,0.0006532235372621476,0.004712455799838068,0.14283347019341053,19506.0,18710.975,20263.2,0.11826720904250465,0.345,1.2875,0.955,0.6231884057971014,0.7889908256880734,0.6963562753036437,0.11,0.033541666666666664
id,learned_seed1,0.7,400,0.0039275369626132215,0.0024895111216234893,0.0059446714159600835,0.0006734234814471333,0.005745496261982058,0.27445380115299434,18991.0,18246.0,19736.175,0.11267514841500315,0.3025,1.26,0.9375,0.6528925619834711,0.7247706422018348,0.6869565217391305,0.0925,0.048125
id,learned_seed1,0.8,400,0.004544050400149889,0.0029568017693062435,0.006552997338464262,0.0007174442698447137,0.006175903718687515,0.27445380115299434,18504.0,17795.0,19184.0,0.10707854167000391,0.27,1.2325,0.9325,0.7129629629629629,0.7064220183486238,0.7096774193548386,0.06875,0.053125
id,learned_seed1,0.9,400,0.006135109910535177,0.0037173617562523834,0.00922680539753889,0.0007334096841032367,0.006683208037094505,0.4564616932141369,18039.0,17343.975,18720.15,0.10236101901250663,0.2325,1.2075,0.915,0.7634408602150538,0.6513761467889908,0.7029702970297028,0.05125,0.06687499999999999
id,learned_seed1,0.97,400,0.0063630443368238535,0.0039575922130198945,0.009435579189850137,0.0007817960013419278,0.008857216817884934,0.4564616932141369,17559.0,16892.825,18189.0,0.09629699285250809,0.2025,1.18,0.9075,0.8395061728395061,0.6238532110091743,0.7157894736842104,0.02875,0.07270833333333332
id,learned_seed1_seq,0.02,400,0.0015742837505875514,0.0012818944744584233,0.0019322266027756406,0.0005599062239676628,0.0038887356060126176,0.04872595412531966,24663.0,23165.875,26108.024999999998,0.17726232673250478,0.5625,1.5625,0.98,0.4444444444444444,0.9174311926605505,0.5988023952095808,0.23958333333333331,0.013333333333333332
id,learned_seed1_seq,0.05,400,0.0016298838651178983,0.0013256763311348468,0.0020097105677248073,0.0005619470522806036,0.00406674750162518,0.04872595412531966,23934.0,22498.8,25312.875,0.1692956086975039,0.525,1.525,0.9775,0.47619047619047616,0.9174311926605505,0.6269592476489029,0.21458333333333335,0.013333333333333332
id,learned_seed1_seq,0.1,400,0.0017234433371340044,0.0013862420053112996,0.0021050075048461908,0.0005637554429760994,0.004146834696299652,0.04872595412531966,23241.0,21882.65,24575.025,0.1619423350350064,0.49,1.49,0.975,0.5051020408163265,0.908256880733945,0.6491803278688525,0.19333333333333333,0.01583333333333333
id,learned_seed1_seq,0.15,400,0.001715403689752079,0.0013827056033166088,0.00210335889953733,0.0005637554429760994,0.004121131200532558,0.04872595412531966,22919.0,21609.775,24297.05,0.15821203190500568,0.4725,1.4725,0.975,0.5238095238095238,0.908256880733945,0.6644295302013423,0.18083333333333332,0.01583333333333333
