family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
id,uniform_coarse,0.0,300,0.12971365129217413,0.10891902505773658,0.15384372067265747,0.05995703007548289,0.3314989235312163,1.11709612036977,4800.0,4800.0,4800.0,0.017794093719882463,0.0,1.0,0.20333333333333334,1.0,0.0,0.0,0.0,0.2
id,uniform_medium,1.0,300,0.05349711123176784,0.037301171964819343,0.07167524057657511,0.00105777570377108,0.15567027629610983,0.8815104354754488,14400.0,14400.0,14400.0,0.05702858753996528,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.2
id,uniform_fine,2.0,300,0.00111570888981987,0.0009635913867237086,0.001277187542806685,0.0005556578587640193,0.0033608794497182962,0.007989880049040776,192000.0,192000.0,192000.0,0.6931518053800392,12.0,1.0,1.0,0.022222222222222223,1.0,0.04347826086956522,0.9777777777777779,0.0
id,random,0.0,300,0.05349711123176784,0.037301171964819343,0.07167524057657511,0.00105777570377108,0.15567027629610983,0.8815104354754488,14400.0,14400.0,14400.0,0.05702858753996528,0.0,1.0,0.8,1.0,0.0,0.0,0.0,0.2
id,random,1.0,300,0.05184526157346914,0.03561962209187774,0.07013697741958753,0.000984490172095509,0.155669978416127,0.8815050567938694,29200.0,29200.0,29200.0,0.622438087959969,1.0,1.0,0.82,0.02,0.075,0.031578947368421054,0.98,0.18
id,random,2.0,300,0.04625462764918969,0.03151622443629333,0.06586754658847208,0.0009578235002411922,0.10586131955443043,0.8815073906985331,44000.0,44000.0,44000.0,0.6273506848566043,2.0,1.0,0.8366666666666667,0.021666666666666667,0.1625,0.03823529411764706,0.9783333333333334,0.1613888888888889
id,random,3.0,300,0.0428163783029174,0.02867073614298513,0.06062294643630796,0.0009196171550272247,0.06612193980115219,0.8815072926145963,58800.0,58800.0,58800.0,0.6369846873266579,3.0,1.0,0.85,0.022222222222222223,0.25,0.04081632653061225,0.9777777777777777,0.14444444444444443
id,random,4.0,300,0.0392281475498449,0.025654097576384753,0.05598364687355069,0.0008734939446816445,0.04834250485807387,0.881516102009774,73600.0,73600.0,73600.0,0.6434549517300365,4.0,1.0,0.86,0.023333333333333334,0.35,0.04375,0.9766666666666667,0.1286111111111111
id,random,6.0,300,0.030642093146003132,0.017929771349003584,0.04467722291371222,0.0007553346749609169,0.013218000828060832,0.835992999077269,103200.0,103200.0,103200.0,0.6603773120366956,6.0,1.0,0.8933333333333333,0.023333333333333334,0.525,0.04468085106382979,0.9766666666666667,0.09333333333333332
id,random,8.0,300,0.026612353702534584,0.0146321050537724,0.040212329292599144,0.000674685603738432,0.0057239327301575335,0.8360043632781835,132800.0,132800.0,132800.0,0.6816763904033724,8.0,1.0,0.92,0.022083333333333333,0.6625,0.042741935483870966,0.9779166666666667,0.06888888888888887
