family,policy,param,n,err_mean,err_lo,err_hi,err_median,err_p90,err_max,cost_mean,cost_lo,cost_hi,wall_mean,n_fine_mean,n_sims_mean,success_rate,precision,recall,f1,waste,miss
sigmoid,uniform_coarse,0.0,100,0.026411057553440757,0.014687195857856071,0.040406236912363495,0.0009198542289927045,0.07575343336816183,0.42167686276502075,4800.0,4800.0,4800.0,0.017681390880006802,0.0,1.0,0.73,1.0,1.0,1.0,0.0,0.0
sigmoid,uniform_medium,1.0,100,0.0024235420542791618,0.0006762283813120488,0.005746069079884144,0.0004122416900495668,0.0027143277157496105,0.15938834895510562,14400.0,14400.0,14400.0,0.14453654236000146,0.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0
sigmoid,uniform_fine,2.0,100,0.0007759247652316631,0.0005769901331346061,0.0010156496407358077,0.00035516511313271604,0.002082561848670435,0.007725496803717036,192000.0,192000.0,192000.0,0.8433075961800932,12.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
sigmoid,random,0.0,100,0.0024235420542791618,0.0006762283813120488,0.005746069079884144,0.0004122416900495668,0.0027143277157496105,0.15938834895510562,14400.0,14400.0,14400.0,0.14453654236000146,0.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0
sigmoid,random,1.0,100,0.0024221031522506605,0.0006719338643847327,0.0057452057385027405,0.0003883731025606692,0.0027143373886411646,0.1593883489446511,29200.0,29200.0,29200.0,0.9542405024700747,1.0,1.0,0.99,0.0,1.0,0.0,1.0,0.0
sigmoid,random,2.0,100,0.0023716181820271163,0.0006364260771869657,0.005700611916069043,0.0003883730872954981,0.002539830787810713,0.15938834894498882,44000.0,44000.0,44000.0,0.9385987813399879,2.0,1.0,0.99,0.0,1.0,0.0,1.0,0.0
sigmoid,random,3.0,100,0.0023662154010152337,0.0006346953367670129,0.005692793878540249,0.00038837309088378055,0.002313804800007488,0.15938834894477394,58800.0,58800.0,58800.0,0.936792616710045,3.0,1.0,0.99,0.0,1.0,0.0,1.0,0.0
sigmoid,random,4.0,100,0.0007652742501633081,0.0005842715997281995,0.0009853732664926959,0.0003883730905379877,0.0021924667829803907,0.006512352940019395,73600.0,73600.0,73600.0,0.9332210148499871,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
sigmoid,random,6.0,100,0.0007622852143545955,0.0005734105622751827,0.0010020301896808816,0.00038837309191425487,0.0020825634933742967,0.007725496803717036,103200.0,103200.0,103200.0,0.9297089923399653,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
sigmoid,random,8.0,100,0.0007687651545441633,0.0005762118293686099,0.0010057110488575884,0.0003912140805727611,0.002082561890526803,0.007725496803717036,132800.0,132800.0,132800.0,0.914100858989932,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
