n,rate,cv,delay,vmax,i_pulse_abs,i_pulse_rel
0,0.0,,,-50.41749081173276,-3.0,9.0
0,0.0,,,-49.79385833355047,-2.5,9.5
0,0.0,,,-48.63963980144173,-2.0,10.0
0,0.0,,,-47.91665157228659,-1.9,10.1
6,32.35198964736331,0.0006470397929479651,326.35,-5.8184241275909425,-1.8,10.2
13,36.06311044327573,0.0008889676608715395,147.20000000000002,-5.676246893221531,-1.5,10.5
17,41.24774426398557,0.0009984489162690006,88.60000000000001,-5.4378327856762665,-1.0,11.0
23,49.47711683346452,0.0010367192687836392,53.6,-4.973142678871818,0.0,12.0
29,61.694392420403226,0.0014406408318413852,31.900000000000006,-4.129091836994894,2.0,14.0
37,75.14873186514977,0.001299436342551689,20.55,-2.9212200346862445,5.0,17.0
45,91.52366094643786,0.00228572657054964,13.200000000000003,-1.2183534592397034,10.0,22.0
51,103.74520178441746,0.0021488033174821117,9.850000000000001,0.2511253273861745,15.0,27.0
56,113.23862466543135,0.0027507492723669383,7.900000000000002,1.4775508597830709,20.0,32.0
60,120.65439672801635,0.002796481458318488,6.600000000000001,2.547273031528238,25.0,37.0
63,126.41451728004894,0.0034315491242133006,5.65,3.4675375652372775,30.0,42.0
65,130.7590152211666,0.003907363673287483,4.950000000000001,4.301487210839626,35.0,47.0
67,133.87423935091277,0.006261804884556999,4.4,5.078360401434254,40.0,52.0
68,135.9026369168357,0.00883226817731345,4.0,5.787948297179917,45.0,57.0
68,136.86038198345418,0.011333721171345984,3.6000000000000014,6.4301936802865916,50.0,62.0
