family,target,policy,param,n,err_rel_tol_mean,err_lo,err_hi,err_median,success_rate,cost_mean,cost_frac_fine,wall_mean,n_refined_mean,precision,recall,false_safe_rate,n_necessary
A,peak_current,uniform_coarse,0.0,120,52.335338577393365,45.82893901021147,59.687960028926156,39.26500043152396,0.0,821.45,0.011191465813077905,0.0895063808501618,0.0,1.0,0.0,1.0,102
A,peak_current,uniform_medium,1.0,120,1.9573899989362664,1.7527737349881107,2.2197944206331273,1.3270087372464148,0.15,3606.225,0.04976642348202029,0.051019125550222574,0.0,1.0,0.0,1.0,102
A,peak_current,uniform_fine,2.0,120,2.6044070851069516e-06,2.187141318053593e-06,3.1079927475315896e-06,1.681699494289872e-06,1.0,72746.33333333333,1.0,1.1751995523250722,4.0,0.2125,1.0,0.0,102
A,peak_current,random,0.0,120,1.9573899989362664,1.7527737349881107,2.2197944206331273,1.3270087372464148,0.15,3606.225,0.04976642348202029,0.051019125550222574,0.0,1.0,0.0,1.0,102
A,peak_current,random,1.0,120,1.4690020669710466,1.2560646869494478,1.7633555135612362,1.1940534463726542,0.36666666666666664,14561.583333333334,0.2038480901882796,0.2335092778164532,1.0,0.21666666666666667,0.2549019607843137,0.0,102
A,peak_current,random,2.0,120,1.0532380104284067,0.8355670575707669,1.3723402149878268,0.6168258284983634,0.5666666666666667,27785.358333333334,0.3866041350571121,0.4536083464915767,2.0,0.20833333333333334,0.49019607843137253,0.0,102
A,peak_current,random,3.0,120,0.40982931013122725,0.267957710028056,0.6057914001475236,2.295823997118358e-06,0.8166666666666667,49642.6,0.6859579001790934,0.8117156449249705,3.0,0.2222222222222222,0.7843137254901961,0.0,102
A,peak_current,random,4.0,120,2.6044070851069516e-06,2.187141318053593e-06,3.1079927475315896e-06,1.681699494289872e-06,1.0,72746.33333333333,1.0,1.1751995523250722,4.0,0.2125,1.0,0.0,102
A,peak_current,share,0.0,120,1.9573899989362664,1.7527737349881107,2.2197944206331273,1.3270087372464148,0.15,3606.225,0.04976642348202029,0.051019125550222574,0.0,1.0,0.0,1.0,102
A,peak_current,share,1.0,120,1.3113096872816705,1.0506672233806897,1.5690407271914542,1.1772499494929172,0.4166666666666667,11284.441666666668,0.1596212320648251,0.17017710428359958,1.0,0.26666666666666666,0.3137254901960784,0.0,102
A,peak_current,share,2.0,120,0.7088420544208555,0.48871914685586615,0.9001743699803824,2.3871519814561903e-06,0.65,33169.566666666666,0.4334283112930018,0.5118771741917347,2.0,0.25,0.5882352941176471,0.0,102
A,peak_current,share,3.0,120,0.5878683273555159,0.4032425758919062,0.7728318658891224,2.12475666729283e-06,0.7,38706.166666666664,0.510579638273797,0.5940904671002802,3.0,0.18333333333333332,0.6470588235294118,0.0,102
A,peak_current,share,4.0,120,2.6044070851069516e-06,2.187141318053593e-06,3.1079927475315896e-06,1.681699494289872e-06,1.0,76352.55833333333,1.0497664234820203,1.2262186778752948,4.0,0.2125,1.0,0.0,102
A,peak_current,discrepancy,0.01,120,2.6044070851069516e-06,2.187141318053593e-06,3.1079927475315896e-06,1.681699494289872e-06,1.0,77174.00833333333,1.0609578892950982,1.3157250587254565,4.0,0.2125,1.0,0.0,102
A,peak_current,discrepancy,0.020000000000000004,120,2.966465330951103e-06,2.4857256103109455e-06,3.533011507064547e-06,1.9083579026612115e-06,1.0,75757.925,1.0439428455370425,1.2977923204671848,3.7666666666666666,0.22566371681415928,1.0,0.0,102
A,peak_current,discrepancy,0.030000000000000006,120,3.2820281812031402e-06,2.7091452205131204e-06,3.8794095375248e-06,2.085744045680207e-06,1.0,74804.49166666667,1.0334690768501011,1.288064313775491,3.4916666666666667,0.24343675417661098,1.0,0.0,102
A,peak_current,discrepancy,0.04000000000000001,120,3.3579630986764185e-06,2.7659846832320386e-06,3.970336149564729e-06,2.1763939065963334e-06,1.0,72371.95,0.9962637393491519,1.2546234983754403,3.1083333333333334,0.2734584450402145,1.0,0.0,102
A,peak_current,discrepancy,0.05000000000000001,120,3.354469934638358e-06,2.7541070085318838e-06,3.970336149421631e-06,2.1763939065963334e-06,1.0,72025.4,0.9907678651286773,1.2524395574504827,3.0416666666666665,0.27945205479452057,1.0,0.0,102
A,peak_current,discrepancy,0.06000000000000001,120,3.3374458240098982e-06,2.7344156106061983e-06,3.9565763854688765e-06,2.085744045680207e-06,1.0,71883.65,0.9885517935728468,1.2508756652838202,3.025,0.2809917355371901,1.0,0.0,102
A,peak_current,discrepancy,0.07,120,3.3478330936892045e-06,2.7483525174693353e-06,3.966627752447911e-06,2.085744045680207e-06,1.0,71247.575,0.97993322201039,1.2396605024005112,2.9833333333333334,0.2849162011173184,1.0,0.0,102
A,peak_current,discrepancy,0.08,120,3.343265226396475e-06,2.7381130705288106e-06,3.977824390970617e-06,2.085744045680207e-06,1.0,70401.69166666667,0.9686522048551872,1.2248765068922087,2.933333333333333,0.2897727272727273,1.0,0.0,102
A,peak_current,discrepancy,0.09000000000000001,120,3.2943967041566067e-06,2.674801284426123e-06,3.86281693612997e-06,1.949937382195029e-06,1.0,69490.60833333334,0.9570087529514999,1.2104526811588585,2.875,0.2956521739130435,1.0,0.0,102
A,peak_current,discrepancy,0.1,120,0.026297665640418837,2.8728048539323723e-06,0.07888668710285439,2.085744045680207e-06,0.9916666666666667,69113.575,0.9518855427404004,1.2055984613672082,2.841666666666667,0.2961876832844575,0.9901960784313726,0.0,102
A,peak_current,discrepancy,0.15,120,0.43538340598500497,0.29758831838001143,0.6394056250405719,2.2267006246869653e-06,0.8416666666666667,64966.60833333333,0.8916710905026953,1.1413889143423452,2.5083333333333333,0.2757475083056478,0.8137254901960784,0.0,102
A,peak_current,discrepancy,0.19999999999999998,120,0.5159649499073089,0.35757546605518703,0.7185003513226019,2.29582400711878e-06,0.8083333333333333,61625.225,0.847318990743694,1.0984304222340142,2.2,0.29924242424242425,0.7745098039215687,0.0,102
A,peak_current,discrepancy,0.25,120,0.5159649499079664,0.35757546605646895,0.7185003513226019,2.29582400711878e-06,0.8083333333333333,61539.541666666664,0.8461311716082766,1.097521346900703,2.191666666666667,0.30038022813688214,0.7745098039215687,0.0,102
A,peak_current,discrepancy,0.3,120,0.5446534367287955,0.40004799104080996,0.7591955785571918,2.3909376112229963e-06,0.7916666666666666,60827.10833333333,0.8346144060320673,1.0873128895339808,2.125,0.30196078431372547,0.7549019607843137,0.0,102
A,peak_current,discrepancy,0.35,120,0.6056260172524176,0.4658040896743491,0.8292803250212789,2.7115933362118865e-06,0.75,59017.308333333334,0.8074407908285438,1.0593059592589271,1.9583333333333333,0.30638297872340425,0.7058823529411765,0.0,102
A,peak_current,discrepancy,0.39999999999999997,120,0.6363349116843967,0.49268414476420724,0.856476019160329,3.5504957229772614e-06,0.7416666666666667,57263.39166666667,0.7797363504346756,1.0332241715170312,1.7666666666666666,0.33490566037735847,0.696078431372549,0.0,102
A,peak_current,discrepancy,0.44999999999999996,120,0.7242285000239536,0.5023405992305044,1.0279581889603688,3.776385931530932e-06,0.7333333333333333,55979.26666666667,0.7611860128845588,1.0152192037336742,1.6583333333333334,0.35175879396984927,0.6862745098039216,0.0,102
A,peak_current,discrepancy,0.5,120,0.7339722773598214,0.515744597357834,1.0298939790736723,4.239431434011181e-06,0.725,55470.65,0.7525725649903829,1.0079332364085833,1.5916666666666666,0.3612565445026178,0.6764705882352942,0.0,102
A,peak_current,discrepancy,0.5499999999999999,120,0.7410597139998141,0.5164234534810457,1.040702317128204,4.239431434011181e-06,0.725,54652.10833333333,0.7412013765313349,0.9932828700835974,1.575,0.36507936507936506,0.6764705882352942,0.0,102
A,peak_current,discrepancy,0.6,120,0.7614046821471495,0.543226073485251,1.0651600296146821,4.239431434011181e-06,0.7166666666666667,53408.675,0.7264548493582039,0.9729340574419135,1.5333333333333334,0.3695652173913043,0.6666666666666666,0.00980392156862745,102
A,peak_current,discrepancy,0.6499999999999999,120,0.7688681604112816,0.5503586834802037,1.0730629726725007,3.776385931530932e-06,0.7166666666666667,52639.425,0.7166777851483584,0.9602904546669379,1.5083333333333333,0.3756906077348066,0.6666666666666666,0.00980392156862745,102
A,peak_current,discrepancy,0.7,120,0.7688681846129264,0.5503587835079128,1.0730629667669922,3.776385931530932e-06,0.7166666666666667,52195.825,0.7111842965983011,0.9511944436669182,1.475,0.384180790960452,0.6666666666666666,0.00980392156862745,102
